PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;calendar.1.3.3/calendar.php;add_submenu_page;133;UNKNOWN;not executed;;calendar_menu ();105;133         add_submenu_page('calendar', __('Calendar Config','calendar'), __('Calendar Options','calendar'), 'manage_options', 'calendar-config', 'edit_calendar_config')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=133&line_end=133&variable_name=add_submenu_page&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;__;133;Cross Site Scripting;not executed;;calendar_menu ();105;133         add_submenu_page('calendar', __('Calendar Config','calendar'), __('Calendar Options','calendar'), 'manage_options', 'calendar-config', 'edit_calendar_config')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=133&line_end=133&variable_name=__&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;__;133;Cross Site Scripting;not executed;;calendar_menu ();105;133         add_submenu_page('calendar', __('Calendar Config','calendar'), __('Calendar Options','calendar'), 'manage_options', 'calendar-config', 'edit_calendar_config')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=133&line_end=133&variable_name=__&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;echo;140;Cross Site Scripting;not executed;;calendar_add_javascript ();138;140    echo '<script type="text/javascript" src="'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=140&line_end=140&variable_name=echo&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;bloginfo;141;UNKNOWN;not executed;;calendar_add_javascript ();138;141    bloginfo('wpurl')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=141&line_end=141&variable_name=bloginfo&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;echo;142;Cross Site Scripting;not executed;$content;calendar_add_javascript ($content);138;142    echo '/wp-content/plugins/calendar/javascript.js"></script>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=142&line_end=142&variable_name=echo&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;preg_match;306;UNKNOWN;not executed;$content;calendar_insert ($content);304;306    if (preg_match('/\{CALENDAR*.+\}/',$content));http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=306&line_end=306&variable_name=preg_match&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;preg_split;308;UNKNOWN;not executed;$content;calendar_insert ($content);304;308        $cat_list = preg_split('/\{CALENDAR\##/',$content)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=308&line_end=308&variable_name=preg_split&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;sizeof;309;UNKNOWN;not executed;$cat_list;calendar_insert ($cat_list);304;309        if (sizeof($cat_list) > 1) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=309&line_end=309&variable_name=sizeof&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;preg_split;310;UNKNOWN;not executed;$cat_list;calendar_insert ($cat_list);304;310  	$cat_list = preg_split('/\}/',$cat_list[1])##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=310&line_end=310&variable_name=preg_split&text=File Functions#target_mark
